word,word_length,by_word_count_guessed,by_word_count_missed,by_word_count_total,by_letter_count_guessed,by_letter_count_missed,by_letter_count_total
Akihito's,9,5,2,7,5,2,7
Akita,5,4,3,7,4,3,7
Akita's,7,6,2,8,6,2,8
Akiva,5,3,4,7,3,4,7
Akiva's,7,5,3,8,5,3,8
Akkad,5,1,6,7,2,5,7
Akkad's,7,4,4,8,3,5,8
Akron,5,5,2,7,5,2,7
Akron's,7,7,1,8,7,1,8
Al,2,2,4,6,2,4,6
Al's,4,4,3,7,4,3,7
Alabama,7,3,3,6,3,2,5
Alabama's,9,5,1,6,6,1,7
Alabaman,8,3,3,6,3,3,6
Alabaman's,10,5,1,6,5,1,6
Alabamans,9,3,2,5,5,2,7
Alabamian,9,3,2,5,3,2,5
Alabamian's,11,2,1,3,2,1,3
Alabamians,10,3,1,4,3,1,4
Aladdin,7,2,2,4,2,2,4
Aladdin's,9,3,1,4,3,1,4
Alamo,5,2,4,6,2,4,6
Alamo's,7,4,1,5,4,1,5
Alamogordo,10,1,3,4,1,3,4
Alamogordo's,12,2,1,3,2,2,4
Alan,4,2,2,4,2,3,5
Alan's,6,3,5,8,3,5,8
Alana,5,3,3,6,3,3,6
Alana's,7,5,2,7,5,2,7
Alar,4,3,1,4,3,2,5
Alar's,6,5,2,7,5,2,7
Alaric,6,3,3,6,4,3,7
Alaric's,8,5,2,7,6,2,8
Alaska,6,2,2,4,2,1,3
Alaska's,8,3,2,5,3,1,4
Alaskan,7,2,2,4,2,2,4
Alaskan's,9,3,2,5,2,2,4
Alaskans,8,2,2,4,2,2,4
Alba,4,3,1,4,3,2,5
Alba's,6,5,1,6,5,1,6
Albania,7,2,3,5,2,2,4
Albania's,9,5,1,6,4,1,5
Albanian,8,3,2,5,3,2,5
Albanian's,10,4,1,5,3,1,4
Albanians,9,3,1,4,4,1,5
Albany,6,4,3,7,4,3,7
Albany's,8,6,2,8,6,2,8
Albee,5,2,3,5,2,3,5
Albee's,7,4,2,6,4,2,6
Alberio,7,7,1,8,7,1,8
Alberio's,9,9,0,9,9,0,9
Albert,6,6,2,8,6,3,9
Albert's,8,8,1,9,8,2,10
Alberta,7,5,1,6,5,1,6
Alberta's,9,7,0,7,7,0,7
Alberto,7,6,2,8,6,2,8
